POST,Status Code,Response Size,city_id,change_latitude,current_latitude,type,newSearch,listType,response_time,datetime
/test/v1/citySelect,200,13131,427,25.0858026,25.0858026,City,0.0,search,14.030 ms,12/Jul/2021:06:14:00 +0000
/test/v1/privacy,200,14322,,,,,,,2.366 ms,12/Jul/2021:06:14:06 +0000
/test/v2/find_email_friends,200,254,,,,,,,4.345 ms,12/Jul/2021:06:14:11 +0000
/test/v1/search_user,200,10366,427,25.0858026,25.0858026,,,,103.994 ms,12/Jul/2021:06:14:11 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,7.717 ms,12/Jul/2021:06:14:12 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,6.148 ms,12/Jul/2021:06:14:17 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,6.923 ms,12/Jul/2021:06:14:17 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.483 ms,12/Jul/2021:06:14:40 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.890 ms,12/Jul/2021:06:15:25 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,4.980 ms,12/Jul/2021:06:15:25 +0000
/test/v1/save_device_token,200,82,,,,,,,6.169 ms,12/Jul/2021:06:15:26 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.891 ms,12/Jul/2021:06:15:26 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,7.354 ms,12/Jul/2021:06:15:34 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.760 ms,12/Jul/2021:06:22:23 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,7.028 ms,12/Jul/2021:06:31:51 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.083 ms,12/Jul/2021:06:37:11 +0000
/test/v1/citySelect,200,12820,466,19.1181855,19.1181855,,,,6.074 ms,12/Jul/2021:06:37:18 +0000
